#k  alpha  peak_neg  peak_pos  theta_neg  theta_pos  peak_separation
0.0183156 -2 -0.533205 0.180119 2.1 3.88 1.78
1 -2 -1.67262 0.569254 0.72 2.72 2
0.000335463 -2 -0.148851 0.0499184 3.44 5.18 1.74
54.5982 -2 -3.73871 1.32295 -0.76 1.86 2.62
0.0183156 -1.8 -0.445459 0.161854 2.2 4 1.8
0.000335463 -1.8 -0.112446 0.040543 3.66 5.4 1.74
1 -1.8 -1.53955 0.562893 0.74 2.74 2
54.5982 -1.8 -3.63885 1.38351 -0.86 1.82 2.68
0.0183156 -1.6 -0.363786 0.143387 2.32 4.14 1.82
0.000335463 -1.6 -0.0818294 0.0319766 3.88 5.66 1.78
1 -1.6 -1.40634 0.55724 0.74 2.76 2.02
54.5982 -1.6 -3.53555 1.4581 -0.98 1.78 2.76
0.0183156 -1.4 -0.289088 0.124891 2.46 4.32 1.86
0.000335463 -1.4 -0.0568679 0.0243364 4.14 5.96 1.82
1 -1.4 -1.27338 0.552874 0.74 2.8 2.06
54.5982 -1.4 -3.42666 1.55163 -1.14 1.72 2.86
0.0183156 -1.2 -0.227339 0.106594 3.06 4.5 1.44
0.000335463 -1.2 -0.0380575 0.0177257 4.88 6.3 1.42
1 -1.2 -1.1746 0.550827 1.3 2.82 1.52
54.5982 -1.2 -3.43531 1.67144 -0.28 1.66 1.94
0.0183156 -1 -0.172161 0.0888148 3.24 4.74 1.5
0.000335463 -1 -0.0238725 0.0122257 5.24 6.74 1.5
1 -1 -1.07631 0.552823 1.3 2.86 1.56
54.5982 -1 -3.49668 1.82861 -0.38 1.58 1.96
0.0183156 -0.8 -0.123923 0.0719764 3.44 5.04 1.6
0.000335463 -0.8 -0.0136768 0.00787638 5.64 7.26 1.62
1 -0.8 -0.976732 0.562424 1.26 2.92 1.66
54.5982 -0.8 -3.57694 2.04068 -0.5 1.5 2
0.0183156 -0.6 -0.083714 0.056694 3.62 5.4 1.78
1 -0.6 -0.87929 0.587798 1.2 2.98 1.78
0.000335463 -0.6 -0.00696108 0.0046665 6.12 7.9 1.78
54.5982 -0.6 -3.6798 2.33569 -0.66 1.42 2.08
0.0183156 -0.4 -0.0523051 0.0440117 3.76 5.84 2.08
1 -0.4 -0.791001 0.652719 1 3.06 2.06
0.000335463 -0.4 -0.00302983 0.0025176 6.6 8.7 2.1
54.5982 -0.4 -3.806 2.75839 -0.84 1.32 2.16
