#k  alpha sigma peak_neg peak_pos  theta_neg  theta_pos  peak_separation
54.5982 -2 4.53999e-05 -0.00356783 0.00171023 -3.96 1.3 5.26
1 -2 4.53999e-05 -0.00338265 0.00133356 -2.12 1.5 3.62
0.0183156 -2 4.53999e-05 -0.0022666 0.000792164 -0.48 1.98 2.46
0.000335463 -2 4.53999e-05 -0.000939185 0.000319139 0.96 2.9 1.94
54.5982 -2 0.000335463 -0.00973495 0.00443775 -3.48 1.32 4.8
1 -2 0.000335463 -0.00869092 0.00328828 -1.68 1.58 3.26
0.0183156 -2 0.000335463 -0.00515272 0.00177806 -0.1 2.18 2.28
0.000335463 -2 0.000335463 -0.00193689 0.000656811 1.32 3.2 1.88
54.5982 -2 0.00247875 -0.0263262 0.0114144 -3.02 1.38 4.4
0.0183156 -2 0.00247875 -0.011367 0.00389186 0.26 2.4 2.14
1 -2 0.00247875 -0.0217292 0.00794821 -1.26 1.68 2.94
0.000335463 -2 0.00247875 -0.0039377 0.00133327 1.66 3.48 1.82
1 -2 0.0183156 -0.0527054 0.0187727 -0.86 1.82 2.68
54.5982 -2 0.0183156 -0.0703361 0.0290276 -2.56 1.42 3.98
0.0183156 -2 0.0183156 -0.0244165 0.00831945 0.62 2.64 2.02
0.000335463 -2 0.0183156 -0.00791794 0.00267639 2 3.8 1.8
1 -2 0.135335 -0.123762 0.0432464 -0.48 1.98 2.46
54.5982 -2 0.135335 -0.184707 0.0728036 -2.12 1.5 3.62
0.0183156 -2 0.135335 -0.0512811 0.0174226 0.96 2.9 1.94
0.000335463 -2 0.135335 -0.0157882 0.00532799 2.34 4.1 1.76
1 -2 1 -0.28133 0.0970787 -0.1 2.18 2.28
54.5982 -2 1 -0.474508 0.179534 -1.68 1.58 3.26
0.0183156 -2 1 -0.105752 0.0358608 1.32 3.2 1.88
0.000335463 -2 1 -0.0312856 0.0105402 2.68 4.42 1.74
54.5982 -2 7.38906 -1.18638 0.433957 -1.26 1.68 2.94
1 -2 7.38906 -0.620633 0.21249 0.26 2.4 2.14
0.0183156 -2 7.38906 -0.214999 0.0727951 1.66 3.48 1.82
0.000335463 -2 7.38906 -0.0617151 0.0207565 3 4.76 1.76
54.5982 -2 54.5982 -2.87765 1.02496 -0.86 1.82 2.68
1 -2 54.5982 -1.33319 0.454237 0.62 2.64 2.02
0.0183156 -2 54.5982 -0.432349 0.146132 2 3.8 1.8
0.000335463 -2 54.5982 -0.121373 0.0407284 3.34 5.08 1.74
1 -2 403.429 -2.80058 0.951315 0.96 2.9 1.94
54.5982 -2 403.429 -6.7578 2.36122 -0.48 1.98 2.46
0.0183156 -2 403.429 -0.862248 0.29093 2.34 4.1 1.76
0.000335463 -2 403.429 -0.238117 0.079726 3.68 5.4 1.72
54.5982 -2 2980.96 -15.3655 5.30084 -0.12 2.18 2.3
1 -2 2980.96 -5.77747 1.95839 1.32 3.2 1.88
0.0183156 -2 2980.96 -1.70942 0.575654 2.66 4.42 1.76
0.000335463 -2 2980.96 -0.4664 0.155813 4.02 5.74 1.72
54.5982 -1.8 4.53999e-05 -0.00334958 0.00178046 -4.42 1.26 5.68
1 -1.8 4.53999e-05 -0.00326524 0.00140198 -2.36 1.44 3.8
0.0183156 -1.8 4.53999e-05 -0.00219633 0.000824025 -0.56 1.94 2.5
0.000335463 -1.8 4.53999e-05 -0.000851253 0.000310843 1 2.94 1.94
1 -1.8 0.000335463 -0.00844144 0.00346023 -1.88 1.54 3.42
54.5982 -1.8 0.000335463 -0.00919416 0.00463209 -3.88 1.3 5.18
0.0183156 -1.8 0.000335463 -0.00494108 0.00182933 -0.16 2.16 2.32
0.000335463 -1.8 0.000335463 -0.00171444 0.000625019 1.36 3.26 1.9
1 -1.8 0.00247875 -0.0211825 0.00835646 -1.42 1.64 3.06
54.5982 -1.8 0.00247875 -0.0250354 0.011946 -3.36 1.34 4.7
0.0183156 -1.8 0.00247875 -0.0107332 0.00394454 0.24 2.38 2.14
0.000335463 -1.8 0.00247875 -0.00340017 0.00123805 1.74 3.58 1.84
1 -1.8 0.0183156 -0.0513552 0.0196662 -0.98 1.78 2.76
54.5982 -1.8 0.0183156 -0.0673892 0.0304557 -2.84 1.38 4.22
0.0183156 -1.8 0.0183156 -0.0226208 0.00827748 0.62 2.66 2.04
0.000335463 -1.8 0.0183156 -0.00666701 0.00242349 2.1 3.9 1.8
1 -1.8 0.135335 -0.119926 0.0449858 -0.56 1.94 2.5
