k^0  pos_peak  neg_peak  pos_theta  neg_theta  separation
80 3.5196 -4.39514 1.24 -1.24 2.48
0.00488281 1.21507 -3.50205 15.88 -16.12 32
0.15625 1.95494 -3.50463 8.88 -9.18 18.06
5 2.95567 -3.86463 2.52 -2.72 5.24
0.3125 2.10576 -3.51062 7.48 -7.8 15.28
0.00976562 1.37163 -3.50206 14.48 -14.74 29.22
160 3.54961 -4.42721 1.18 -1.18 2.36
10 3.19055 -4.06637 1.9 -2 3.9
0.0195312 1.52092 -3.5021 13.08 -13.34 26.42
320 3.56496 -4.44378 1.16 -1.14 2.3
20 3.35953 -4.22955 1.54 -1.58 3.12
0.625 2.27002 -3.5287 6.06 -6.42 12.48
1.25 2.46189 -3.57745 4.7 -5.06 9.76
640 3.57277 -4.45216 1.14 -1.12 2.26
0.0390625 1.66605 -3.50226 11.68 -11.96 23.64
40 3.46259 -4.33502 1.34 -1.36 2.7
2.5 2.69532 -3.68602 3.48 -3.78 7.26
0.078125 1.80976 -3.5028 10.28 -10.58 20.86
