#Δx #rel_error #time_consumption
0.16384 0.0902892 0.014929
0.32768 0.288764 0.007573
0.65536 0.552212 0.00688
0.01024 0.000144903 0.034875
1.31072 0.754743 0.006425
0.02048 0.000187809 0.016345
0.04096 0.00263747 0.012153
0.08192 0.0179185 0.008752
0.00064 0.000157895 0.133696
0.00128 0.00016077 0.160483
0.00256 0.000165869 0.057327
2e-05 0.000155006 0.371528
0.00512 0.000171207 0.040453
4e-05 0.0001551 0.27057
8e-05 0.000155288 0.21895
0.00016 0.000155663 0.197463
0.00032 0.000156412 0.155209
