#Δx #rel_error #time_consumption
0.16384 0.0902875 0.012647
0.32768 0.288812 0.005865
0.65536 0.552231 0.006279
1.31072 0.754748 0.005192
0.01024 0.000597096 0.032866
0.02048 0.000216791 0.021391
0.04096 0.00232105 0.017529
0.08192 0.0177504 0.018013
0.00064 0.000655151 0.501323
0.00128 0.000655016 0.227506
0.00256 0.000654097 0.108585
0.00512 0.000647405 0.056034
2e-05 0.000655155 14.0252
4e-05 0.000655172 7.13452
8e-05 0.000655176 3.62573
0.00016 0.000655176 1.76111
0.00032 0.000655172 0.917797
